complaint_id,date_received,customer_id,product_batch_number,complaint_type,number_affected,amount_claimed_rands,status
1114,2025-02-18,DFC,24-12-28-02:53-06,Missing portions ,1,22,Resolved 
1115,2025-02-19,IQR,24-11-24-08:42-15,Missing portions ,4,88,Resolved 
1116,2025-02-20,Burgerhub,24-12-15-23:15-04,Missing portions ,2,44,Rejected
1117,2025-02-21,Burgerhub,24-12-15-09:59-06,Missing portions ,5,70,Resolved 
1118,2025-02-21,Burgerhub,24-12-18-8:43-15,Off product,1,22,Resolved 
1119,2025-02-21,DFC,24-11-15-10:04-04,Missing portions ,3,66,Rejected 
1120,2025-02-21,IQR,24-12-04-02:11-02,Missing portions ,2,44,Resolved 
1121,2025-02-24,YumChicken,24-11-30-02:58-05,Small pieces,4,88,Resolved 
1122,2025-02-24,Burgerhub,24-12-18-03:54-06,Small pieces,2,44,Resolved 
1123,2025-02-24,DFC,24-11-15-18:16-01,Small pieces,1,22,Resolved 
1124,2025-02-25,IQR,24-11-30-11:31-15,Missing portions ,3,66,Resolved 
1125,2025-02-26,Burgerhub,24-12-10-00:07-08,Missing portions ,2,44,Resolved 
1126,2025-02-26,Burgerhub,24-11-19-15:31-13,Missing portions ,3,66,Resolved 
1127,2025-02-27,DFC,24-11-08-00:25-12,Off product,1,22,Rejected
1128,2025-02-27,IQR,24-11-08-10:47-05,Missing portions ,3,66,Resolved 
1129,2025-02-27,ChickHeaven,24-11-09-04:54-09,Missing portions ,2,44,Resolved 
1130,2025-02-27,ChickHeaven,24-12-23-19:52-06,Missing portions ,3,66,Resolved 
1131,2025-02-28,IQR,24-12-25-17:08-08,Missing portions ,2,44,Resolved 
1132,2025-02-28,Burgerhub,24-11-18-22:21-06,Missing portions ,1,14,Resolved 
1133,2025-02-28,Burgerhub,24-12-21-08:43-14,Off product,3,42,Rejected 
1134,2025-03-03,DFC,24-11-06-20:49-13,Small pieces,4,440,Resolved 
1135,2025-03-03,IQR,24-12-21-03:25-11,Missing portions ,1,22,Resolved 
1136,2025-03-03,ChickHeaven,24-12-30-11:54-03,Small pieces,3,66,Rejected 
1137,2025-03-04,YumChicken,24-12-03-23:26-10,Missing portions ,2,44,Resolved 
1138,2025-03-04,Burgerhub,24-12-03-11:49-07,Missing portions ,3,66,Resolved 
1139,2025-03-05,DFC,24-12-18-16:25-07,Missing portions ,2,44,Resolved 
1140,2025-03-06,YumChicken,24-11-23-22:56-03,Off product,7,154,Escalated
1141,2025-03-06,Burgerhub,24-11-04-20:17-02,Missing portions ,2,44,Resolved 
1142,2025-03-07,DFC,24-12-22-00:26-05,Missing portions ,3,66,Resolved 
1143,2025-03-07,IQR,24-12-10-16:17-08,Missing portions ,1,22,Resolved 
1144,2025-03-07,Burgerhub,24-12-30-01:15-03,Missing portions ,2,44,Resolved 
1145,2025-03-10,Burgerhub,24-11-24-01:18-13,Missing portions ,3,66,Resolved 
1146,2025-03-10,DFC,24-12-11-00:28-10,Off product,16,352,Escalated
1147,2025-03-10,IQR,24-12-22-03:37-07,Missing portions ,2,44,Resolved 
1148,2025-03-11,ChickHeaven,24-11-06-17:00-02,Missing portions ,3,66,Resolved 
1149,2025-03-12,ChickHeaven,24-11-11-20:58-06,Small pieces,2,28,Resolved 
1150,2025-03-12,IQR,24-11-28-00:17-07,Small pieces,1,22,Resolved 
1151,2025-03-12,Burgerhub,24-12-17-11:59-14,Small pieces,3,66,Resolved 
1152,2025-03-17,Burgerhub,24-11-08-19:17-10,Off product,16,352,Escalated
1153,2025-03-17,DFC,24-12-17-21:20-06,Small pieces,1,22,Resolved 
1154,2025-03-17,IQR,24-12-22-05:12-13,Small pieces,2,44,Resolved 
1155,2025-03-17,ChickHeaven,24-11-30-04:03-15,Off product,3,66,Rejected
1156,2025-03-17,YumChicken,24-11-23-22:10-03,Off product,2,44,Rejected
1157,2025-03-17,Burgerhub,24-11-08-07:24-14,Off product,3,66,Rejected
1158,2025-03-17,DFC,24-11-20-04:12-14,Missing portions ,2,44,Resolved 
1159,2025-03-18,YumChicken,24-12-06-18:05-07,Missing portions ,3,66,Resolved 
1160,2025-03-18,Burgerhub,24-12-14-17:19-15,Missing portions ,4,88,Resolved 
1161,2025-03-19,DFC,24-12-24-01:56-13,Missing portions ,3,66,Rejected
1162,2025-03-19,IQR,24-11-21-14:14-06,Off product,16,352,Escalated
1163,2025-03-19,Burgerhub,24-12-09-11:21-09,Missing portions ,2,44,Resolved 
1164,2025-03-20,Burgerhub,24-12-05-10:17-06,Missing portions ,4,56,Rejected 
1165,2025-03-21,DFC,24-11-23-19:37-12,Small pieces,4,440,Resolved 
1166,2025-03-21,IQR,24-12-11-22:50-02,Small pieces,3,42,Resolved 
1167,2025-03-21,ChickHeaven,24-11-09-10:05-05,Small pieces,4,88,Resolved 
1168,2025-03-21,ChickHeaven,24-11-02-02:10-05,Off product,2,44,Resolved 
1169,2025-03-21,IQR,24-12-18-21:30-15,Small pieces,3,66,Rejected 
1170,2025-03-22,YumChicken,24-11-07-18:42-04,Small pieces,2,44,Rejected 
1171,2025-03-22,Burgerhub,24-11-11-23:46-09,Off product,16,352,Escalated
1172,2025-03-25,DFC,24-12-27-22:19-07,Off product,4,440,Escalated
1173,2025-03-25,IQR,24-11-21-22:27-03,Off product,24,528,Escalated
1174,2025-03-25,ChickenIkhaya,24-12-13-01:56-12,Missing portions ,2,44,Resolved 
1175,2025-03-25,ChickenIkhaya,24-12-31-19:48-05,Missing portions ,4,88,Rejected 
1176,2025-03-25,YumChicken,24-11-12-10:05-06,Missing portions ,3,66,Rejected
1177,2025-03-26,YumChicken,24-12-17-02:16-04,Missing portions ,2,44,Resolved 
1178,2025-03-27,IQR,24-12-01-01:25-13,Missing portions ,3,66,Resolved 
1179,2025-03-28,YumChicken,24-11-18-10:22-12,Small pieces,3,66,Rejected 
1180,2025-03-28,IQR,24-11-12-00:57-01,Missing portions ,2,44,Resolved 
1181,2025-03-28,YumChicken,24-12-29-12:21-07,Missing portions ,2,28,Resolved 
1182,2025-03-31,ChickenIkhaya,24-12-27-20:40-07,Missing portions ,1,22,Resolved 
