product_batch_number,product_type,production_date,production_time,production_line,shift,supplier_id
24-12-18-22:23-01,16PCS,2024-12-18,22:23:00,1,Night,1170
24-11-28-11:55-08,16PCS,2024-11-28,11:55:00,2,Day,1120
24-12-08-01:22-08,16PCS,2024-12-08,1:22:00,3,Night,1120
24-12-28-02:53-06,16PCS,2024-12-28,2:53:00,1,Night,1180
24-11-24-08:42-15,16PCS,2024-11-24,8:42:00,1,Day,1168
24-12-15-23:15-04,16PCS,2024-12-15,23:15:00,5,Night,1168
24-12-15-09:59-06,24WNGS,2024-12-15,9:59:00,5,Day,1120
24-12-18-8:43-15,16PCS,2024-12-18,8:43:00,5,Day,1189
24-11-15-10:04-04,16PCS,2024-11-15,10:04:00,5,Day,1168
24-12-04-02:11-02,16PCS,2024-12-04,2:11:00,1,Night,1170
24-11-30-02:58-05,16PCS,2024-11-30,2:58:00,1,Night,1170
24-12-18-03:54-06,16PCS,2024-12-18,3:54:00,3,Night,1170
24-11-15-18:16-01,24PCS,2024-11-15,18:41:00,3,Night,1170
24-11-30-11:31-15,24PCS,2024-11-30,11:31:00,2,Day,1170
24-12-10-00:07-08,24PCS,2024-12-10,0:07:00,4,Night,1168
24-11-19-15:31-13,16PCS,2024-11-19,15:31:00,2,Night,1168
24-11-08-00:25-12,16PCS,2024-11-08,0:25:00,3,Day,1120
24-11-08-10:47-05,16PCS,2024-11-08,10:47:00,1,Night,1189
24-11-09-04:54-09,16PCS,2024-11-09,4:54:00,1,Night,1189
24-12-23-19:52-06,16PCS,2024-12-23,19:52:00,5,Night,1120
24-12-25-17:08-08,16PCS,2024-12-25,17:08:00,5,Night,1168
24-11-18-22:21-06,24WNGS,2024-11-18,22:21:00,5,Night,1170
24-12-21-08:43-14,16WNGS,2024-12-21,8:43:00,5,Day,1189
24-11-06-20:49-13,4SPATCH,2024-11-06,20:49:00,1,Night,1170
24-12-21-03:25-11,16PCS,2024-12-21,3:25:00,1,Night,1168
24-12-30-11:54-03,16PCS,2024-12-30,11:54:00,3,Day,1168
24-12-03-23:26-10,16PCS,2024-12-03,23:26:00,3,Night,1120
24-12-03-11:49-07,16PCS,2024-12-03,11:49:00,2,Day,1170
24-12-18-16:25-07,16PCS,2024-12-18,16:25:00,4,Day,1120
24-11-23-22:56-03,24PCS,2024-11-23,22:56:00,1,Day,1120
24-11-04-20:17-02,24PCS,2024-11-04,20:17:00,3,Night,1180
24-12-22-00:26-05,24PCS,2024-12-22,0:26:00,5,Night,1168
24-12-10-16:17-08,16PCS,2024-12-10,16:17:00,5,Day,1168
24-12-30-01:15-03,16PCS,2024-12-30,1:15:00,1,Night,1120
24-11-24-01:18-13,16PCS,2024-11-24,1:18:00,5,Night,1189
24-12-11-00:28-10,16PCS,2024-12-11,0:28:00,2,Night,1168
24-12-22-03:37-07,16PCS,2024-12-22,3:37:00,3,Night,1170
24-11-06-17:00-02,16PCS,2024-11-06,17:00:00,3,Day,1170
24-11-11-20:58-06,24WNGS,2024-11-11,20:58:00,2,Night,1170
24-11-28-00:17-07,16PCS,2024-11-28,0:17:00,3,Night,1170
24-12-17-11:59-14,16PCS,2024-12-17,11:59:00,1,Day,1170
24-11-08-19:17-10,16PCS,2024-11-08,19:17:00,1,Night,1168
24-12-17-21:20-06,16PCS,2024-12-17,21:20:00,5,Night,1168
24-12-22-05:12-13,16PCS,2024-12-22,5:12:00,5,Night,1120
24-11-30-04:03-15,24PCS,2024-11-30,4:03:00,5,Night,1189
24-11-23-22:10-03,24PCS,2024-11-23,22:10:00,5,Night,1189
24-11-08-07:24-14,24PCS,2024-11-08,7:24:00,1,Day,1120
24-11-20-04:12-14,16PCS,2024-11-20,4:12:00,1,Night,1168
24-12-06-18:05-07,16PCS,2024-12-06,18:05:00,3,Night,1170
24-12-14-17:19-15,16PCS,2024-12-14,17:19:00,3,Day,1189
24-12-24-01:56-13,16PCS,2024-12-24,1:56:00,2,Night,1168
24-11-21-14:14-06,16PCS,2024-11-21,14:14:00,4,Day,1168
24-12-09-11:21-09,16PCS,2024-12-09,11:21:00,2,Day,1168
24-12-05-10:17-06,24WNGS,2024-12-05,10:17:00,3,Day,1120
24-11-23-19:37-12,4SPATCH,2024-11-23,19:37:00,1,Night,1170
24-12-11-22:50-02,16WNGS,2024-12-11,22:50:00,1,Night,1120
24-11-09-10:05-05,16PCS,2024-11-09,10:05:00,5,Day,1120
24-11-02-02:10-05,16PCS,2024-11-02,2:10:00,5,Night,1180
24-12-18-21:30-15,16PCS,2024-12-18,21:30:00,5,Night,1168
24-11-07-18:42-04,16PCS,2024-11-07,18:42:00,5,Day,1168
24-11-11-23:46-09,16PCS,2024-11-11,23:46:00,1,Night,1120
24-12-27-22:19-07,4SPATCH,2024-12-27,22:19:00,1,Night,1189
24-11-21-22:27-03,24PCS,2024-11-21,22:27:00,3,Night,1168
24-12-13-01:56-12,24PCS,2024-12-13,1:56:00,3,Night,1170
24-12-31-19:48-05,16PCS,2024-12-31,19:48:00,2,Night,1170
24-11-12-10:05-06,16PCS,2024-11-12,10:05:00,4,Day,1170
24-12-17-02:16-04,16PCS,2024-12-17,2:16:00,1,Night,1170
24-12-01-01:25-13,16PCS,2024-12-01,1:25:00,3,Night,1170
24-11-18-10:22-12,16PCS,2024-11-18,10:22:00,5,Day,1168
24-11-12-00:57-01,16PCS,2024-11-12,0:57:00,5,Night,1168
24-12-29-12:21-07,24WNGS,2024-12-29,12:21:00,1,Day,1120
24-12-27-20:40-07,16PCS,2024-12-27,20:40:00,5,Night,1189
